sent_utc,latency_ms,status,probability,label,model_version
2026-09-26T05:23:53.837+00:00,84.24,200,0.05528310345105299,0,1
2026-09-26T05:23:53.879+00:00,52.9,200,0.424007790713177,1,1
2026-09-26T05:23:53.886+00:00,55.77,200,0.039712819272002146,0,1
2026-09-26T05:23:53.896+00:00,53.35,200,0.25646863542044035,0,1
2026-09-26T05:23:53.918+00:00,55.24,200,0.1646310371994464,0,1
2026-09-26T05:23:53.932+00:00,55.07,200,0.01282691194686035,0,1
2026-09-26T05:23:53.916+00:00,71.99,200,0.014215565608196425,0,1
2026-09-26T05:23:53.921+00:00,82.11,200,0.290641819179596,0,1
2026-09-26T05:23:53.950+00:00,56.07,200,0.10938394199786546,0,1
2026-09-26T05:23:53.941+00:00,67.63,200,0.17191132420967783,0,1
2026-09-26T05:23:53.973+00:00,54.23,200,0.02825310599460059,0,1
2026-09-26T05:23:53.987+00:00,53.12,200,0.20144161693037962,0,1
2026-09-26T05:23:53.988+00:00,55.53,200,0.11105815500606742,0,1
2026-09-26T05:23:54.003+00:00,55.64,200,0.33231302837103655,0,1
2026-09-26T05:23:54.006+00:00,67.75,200,0.023707107991803943,1,1
2026-09-26T05:23:54.009+00:00,66.43,200,0.1381089393218812,1,1
2026-09-26T05:23:54.027+00:00,59.02,200,0.047093805926115555,0,1
2026-09-26T05:23:54.040+00:00,55.32,200,0.04317822755737906,0,1
2026-09-26T05:23:54.044+00:00,59.78,200,0.03479316647172548,0,1
2026-09-26T05:23:54.059+00:00,55.48,200,0.017315759642730598,0,1
2026-09-26T05:23:54.073+00:00,50.18,200,0.035697646457929604,0,1
2026-09-26T05:23:54.075+00:00,56.06,200,0.039760535748701066,0,1
2026-09-26T05:23:54.086+00:00,59.96,200,0.04628582672410262,0,1
2026-09-26T05:23:54.095+00:00,52.33,200,0.1793910758621011,0,1
2026-09-26T05:23:54.114+00:00,59.5,200,0.21332698301736677,0,1
2026-09-26T05:23:54.104+00:00,71.13,200,0.05825732507892671,0,1
2026-09-26T05:23:54.124+00:00,53.18,200,0.4368334892992561,1,1
2026-09-26T05:23:54.131+00:00,52.06,200,0.015624549478282547,0,1
2026-09-26T05:23:54.174+00:00,101.84,200,0.03981334576705297,0,1
2026-09-26T05:23:54.148+00:00,129.37,200,0.04947418379069537,0,1
2026-09-26T05:23:54.146+00:00,132.17,200,0.10863229844559939,0,1
2026-09-26T05:23:54.177+00:00,101.97,200,0.16467812666380194,0,1
2026-09-26T05:23:54.175+00:00,104.32,200,0.12573616611534696,0,1
2026-09-26T05:23:54.184+00:00,138.42,200,0.0379417513380217,0,1
2026-09-26T05:23:54.278+00:00,57.83,200,0.5952993899604879,0,1
2026-09-26T05:23:54.277+00:00,88.66,200,0.09466520956550799,0,1
2026-09-26T05:23:54.279+00:00,91.24,200,0.14992249353323264,1,1
2026-09-26T05:23:54.276+00:00,96.07,200,0.14867619263417914,0,1
2026-09-26T05:23:54.279+00:00,94.37,200,0.019334686443193198,0,1
2026-09-26T05:23:54.322+00:00,54.69,200,0.02571060268189562,0,1
2026-09-26T05:23:54.336+00:00,54.86,200,0.1381089393218812,1,1
2026-09-26T05:23:54.366+00:00,60.01,200,0.06846610105079519,0,1
2026-09-26T05:23:54.370+00:00,58.25,200,0.19322298102549154,1,1
